method,candidate_budget_M,k,tau_k,e_at_k,margin_k,mass_ratio_k,num_above_tau,unconstrained_feasible
null_superset_no_audit,150,93,16.129032258064516,21.82374391726804,5.694711659203524,1.3530721228706186,106,True
null_superset_no_audit,150,94,15.957446808510637,21.82374391726804,5.8662971087574025,1.3676212854821306,106,True
null_superset_no_audit,150,95,15.789473684210526,21.82374391726804,6.034270233057514,1.3821704480936425,106,True
null_superset_no_audit,150,96,15.624999999999998,21.82374391726804,6.198743917268041,1.3967196107051547,106,True
null_superset_no_audit,150,97,15.463917525773194,21.82374391726804,6.359826391494845,1.4112687733166667,106,True
null_superset_no_audit,150,98,15.306122448979592,21.82374391726804,6.517621468288448,1.4258179359281786,106,True
null_superset_no_audit,150,99,15.15151515151515,21.82374391726804,6.672228765752889,1.4403670985396906,106,True
null_superset_no_audit,150,100,15.0,21.82374391726804,6.82374391726804,1.4549162611512028,106,True
null_superset_no_audit,150,101,14.851485148514849,21.82374391726804,6.972258768753191,1.469465423762715,106,True
null_superset_no_audit,150,102,14.705882352941176,21.82374391726804,7.117861564326864,1.484014586374227,106,True
null_superset_no_audit,150,103,14.563106796116504,21.82374391726804,7.260637121151536,1.4985637489857389,106,True
null_superset_no_audit,150,104,14.423076923076923,21.82374391726804,7.400666994191116,1.5131129115972508,106,True
null_superset_no_audit,150,105,14.285714285714286,21.82374391726804,7.538029631553753,1.5276620742087628,106,True
null_superset_no_audit,150,106,14.150943396226413,21.82374391726804,7.672800521041626,1.542211236820275,106,True
null_superset_no_audit,150,107,14.018691588785046,12.284665068442372,-1.734026520342674,0.8763061082155559,106,False
null_superset_no_audit,150,108,13.888888888888888,12.284665068442372,-1.6042238204465153,0.8844958849278508,106,False
null_superset_no_audit,150,109,13.761467889908257,12.284665068442372,-1.4768028214658848,0.8926856616401458,106,False
null_superset_no_audit,150,110,13.636363636363637,12.284665068442372,-1.3516985679212645,0.9008754383524407,106,False
null_superset_no_audit,150,111,13.513513513513512,12.284665068442372,-1.22884844507114,0.9090652150647357,106,False
null_superset_no_audit,150,112,13.392857142857142,12.284665068442372,-1.1081920744147702,0.9172549917770305,106,False
null_superset_no_audit,150,113,13.27433628318584,12.284665068442372,-0.989671214743467,0.9254447684893254,106,False
null_superset_no_audit,150,114,13.157894736842104,12.284665068442372,-0.8732296683997323,0.9336345452016203,106,False
null_superset_no_audit,150,115,13.043478260869565,12.284665068442372,-0.7588131924271924,0.9418243219139151,106,False
null_superset_no_audit,150,116,12.93103448275862,12.284665068442372,-0.6463694143162471,0.9500140986262102,106,False
null_superset_no_audit,150,117,12.82051282051282,12.284665068442372,-0.5358477520704472,0.958203875338505,106,False
null_superset_no_audit,150,118,12.711864406779661,12.284665068442372,-0.42719933833728874,0.9663936520508001,106,False
null_superset_no_audit,150,119,12.605042016806722,12.284665068442372,-0.32037694836435016,0.9745834287630949,106,False
null_superset_no_audit,150,120,12.5,12.284665068442372,-0.21533493155762784,0.9827732054753898,106,False
null_superset_no_audit,150,121,12.396694214876032,12.284665068442372,-0.11202914643365958,0.9909629821876849,106,False
null_superset_no_audit,150,122,12.295081967213113,12.284665068442372,-0.010416898770740701,0.9991527588999797,106,False
null_superset_no_audit,150,123,12.195121951219512,12.284665068442372,0.08954311722285979,1.0073425356122745,126,True
null_superset_no_audit,150,124,12.096774193548386,12.284665068442372,0.18789087489398604,1.0155323123245694,126,True
null_superset_no_audit,150,125,12.0,12.284665068442372,0.28466506844237216,1.0237220890368643,126,True
null_superset_no_audit,150,126,11.904761904761903,12.284665068442372,0.37990316368046884,1.0319118657491595,126,True
null_superset_no_audit,150,127,11.811023622047243,8.77761657244452,-3.0334070496027223,0.7431715364669694,126,False
null_superset_no_audit,150,128,11.71875,8.77761657244452,-2.9411334275554797,0.7490232808485991,126,False
null_superset_no_audit,150,129,11.627906976744185,8.77761657244452,-2.850290404299665,0.7548750252302288,126,False
null_superset_no_audit,150,130,11.538461538461538,8.77761657244452,-2.760844966017018,0.7607267696118585,126,False
null_superset_no_audit,150,131,11.450381679389311,8.77761657244452,-2.672765106944791,0.7665785139934882,126,False
null_superset_no_audit,150,132,11.363636363636363,8.77761657244452,-2.586019791191843,0.7724302583751178,126,False
null_superset_no_audit,150,133,11.278195488721805,8.77761657244452,-2.5005789162772842,0.7782820027567475,126,False
null_superset_no_audit,150,134,11.194029850746269,8.77761657244452,-2.4164132783017482,0.7841337471383771,126,False
null_superset_no_audit,150,135,11.11111111111111,8.77761657244452,-2.3334945386665904,0.7899854915200069,126,False
null_superset_no_audit,150,136,11.02941176470588,8.77761657244452,-2.25179519226136,0.7958372359016366,126,False
null_superset_no_audit,150,137,10.94890510948905,8.77761657244452,-2.1712885370445303,0.8016889802832662,126,False
null_superset_no_audit,150,138,10.869565217391305,8.77761657244452,-2.0919486449467843,0.8075407246648959,126,False
null_superset_no_audit,150,139,10.79136690647482,8.77761657244452,-2.0137503340303002,0.8133924690465255,126,False
null_superset_no_audit,150,140,10.714285714285714,8.77761657244452,-1.9366691418411932,0.8192442134281552,126,False
null_superset_no_audit,150,141,10.638297872340425,8.77761657244452,-1.860681299895905,0.825095957809785,126,False
null_superset_no_audit,150,142,10.56338028169014,8.77761657244452,-1.7857637092456198,0.8309477021914146,126,False
null_superset_no_audit,150,143,10.489510489510488,8.77761657244452,-1.711893917065968,0.8367994465730443,126,False
null_superset_no_audit,150,144,10.416666666666666,8.77761657244452,-1.6390500942221458,0.8426511909546739,126,False
