regime,replicate,feature_set,fold,n_test,positive_rate_test,roc_auc,average_precision,brier,train_systems,test_systems,group_split,evidence_scope
candidate_driven,2,candidate_plus_system,3,244,0.3442622950819672,0.8605654761904762,0.762729049875915,0.15159889289645528,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_plus_system,4,244,0.3360655737704918,0.8066847335140018,0.6639406389687167,0.1805372461498402,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,negative_control_noise,0,245,0.34285714285714286,0.5349009168884945,0.3989982820676057,0.24930656411195143,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,negative_control_noise,1,245,0.35918367346938773,0.46561957151129124,0.33463492548428586,0.2516317572105188,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,negative_control_noise,2,244,0.3770491803278688,0.5060068649885583,0.4302086299941059,0.24994370711620192,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,negative_control_noise,3,244,0.3442622950819672,0.46071428571428574,0.31128634376750275,0.25395874916230576,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,negative_control_noise,4,244,0.3360655737704918,0.4475308641975309,0.3346757466390692,0.2521761417833557,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,3,candidate_margin_rank,0,253,0.3675889328063241,0.8656586021505377,0.7675427435009301,0.15371810342468747,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,3,candidate_margin_rank,1,253,0.30434782608695654,0.850870720188902,0.7005259834755411,0.1619711948210146,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,3,candidate_margin_rank,2,253,0.33201581027667987,0.8500986193293887,0.7291006987532149,0.1581586000382053,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,3,candidate_margin_rank,3,253,0.38735177865612647,0.8196181698485846,0.7439731828140956,0.17665125079128233,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,3,candidate_margin_rank,4,252,0.32936507936507936,0.8259784700933914,0.7207580992290286,0.1717577710645517,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
