alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_diagnostic
0.1,0,unmatched_as_false_block,125,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-4.126329937764635,insufficient_high_e_mass_for_uniform_scs
0.1,0,unmatched_as_false_block,150,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-4.126329937764635,insufficient_high_e_mass_for_uniform_scs
0.1,0,unmatched_as_false_block,175,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-4.300748542415799,insufficient_high_e_mass_for_uniform_scs
0.1,0,unmatched_as_false_block,200,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-4.638097352618196,insufficient_high_e_mass_for_uniform_scs
0.1,0,unmatched_as_false_block,250,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-4.638097352618196,insufficient_high_e_mass_for_uniform_scs
0.1,0,null_superset_no_audit,175,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-0.2396707390396528,insufficient_high_e_mass_for_uniform_scs
0.1,0,null_superset_no_audit,200,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-1.4868760731258313,insufficient_high_e_mass_for_uniform_scs
0.1,0,null_superset_no_audit,250,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-1.4868760731258313,insufficient_high_e_mass_for_uniform_scs
0.1,0,parc_track_gamma_tuned_uniform_scs,175,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-0.309634826145551,insufficient_high_e_mass_for_uniform_scs
0.1,0,parc_track_gamma_tuned_uniform_scs,200,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-1.5465131223959183,insufficient_high_e_mass_for_uniform_scs
0.1,0,parc_track_gamma_tuned_uniform_scs,250,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-1.5465131223959183,insufficient_high_e_mass_for_uniform_scs
0.1,0,tracklet_e_bh,150,,,,,,,,,,baseline_selected_empty
0.1,0,tracklet_e_bh,175,,,,,,,,,,baseline_selected_empty
0.1,0,post_filter_e_bh,175,,,,,,,,,,baseline_selected_empty
0.1,0,tracklet_e_bh,200,,,,,,,,,,baseline_selected_empty
0.1,0,post_filter_e_bh,200,,,,,,,,,,baseline_selected_empty
0.1,0,tracklet_e_bh,250,,,,,,,,,,baseline_selected_empty
0.1,0,post_filter_e_bh,250,,,,,,,,,,baseline_selected_empty
0.1,1,unmatched_as_false_block,75,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-0.8348486100883203,insufficient_high_e_mass_for_uniform_scs
0.1,1,unmatched_as_false_block,100,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-0.8348486100883203,insufficient_high_e_mass_for_uniform_scs
0.1,1,unmatched_as_false_block,125,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-0.8348486100883203,insufficient_high_e_mass_for_uniform_scs
0.1,1,unmatched_as_false_block,150,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-0.9699837452234554,insufficient_high_e_mass_for_uniform_scs
0.1,1,unmatched_as_false_block,175,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-2.5166852264521173,insufficient_high_e_mass_for_uniform_scs
0.1,1,unmatched_as_false_block,200,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-2.5166852264521173,insufficient_high_e_mass_for_uniform_scs
0.1,1,unmatched_as_false_block,250,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-3.892703284994628,insufficient_high_e_mass_for_uniform_scs
0.1,1,tracklet_e_bh,200,,,,,,,,,,baseline_selected_empty
0.1,1,tracklet_e_bh,250,,,,,,,,,,baseline_selected_empty
0.1,2,unmatched_as_false_block,175,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-2.105451910804554,insufficient_high_e_mass_for_uniform_scs
0.1,2,unmatched_as_false_block,200,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-3.509622507126416,insufficient_high_e_mass_for_uniform_scs
0.1,2,unmatched_as_false_block,250,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-4.194829890520003,insufficient_high_e_mass_for_uniform_scs
