method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol,selected_M,selected_M_by_tune,selection_metric,selection_status,tune_released,tune_margin,tune_tau,tune_max_e,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,105,103,2,,,,,,,,,0.019047619047619,0.0,,0.9809523809523808,0.7,,,14.285714285714286,0.9180776513198196,,,,,,,,,0,diagnostic_baseline,0.0004689907655119,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001594796776771,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.5,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,15.676415406590976,12.96148139681572,10.0,True,12.96148139681572,9.750139702798142,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2266.0,,,148.0,10.135135135135137,-0.9699837452234554,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,4.06201920231798,196.0,98.0,98.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.1536037354732135,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,52.394764935738735,37.97314507911579,10.0,True,37.97314507911579,23.73437487595457,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,0.0,2266.0,10.0,4.9845229359243,148.0,10.135135135135137,10.984475377950018,14.9845229359243,23.73437487595457,37.97314507911579,,,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.795237224146918,196.0,98.0,98.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,655.0,327.0,655.0,655.0,655.0,327.0,0.0,0.1541744080264767,0.1541744080264767,0.0010172939979654,0.0015243902439024,0.0015243902439024,52.38303295760676,37.20674236442314,10.0,True,37.20674236442314,23.262240544677287,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,77.0,2191.0,10.0,4.691301762277799,148.0,10.135135135135137,10.566410521565524,14.6913017622778,23.262240544677287,37.20674236442314,,,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.661203684512458,196.0,98.0,98.0
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.000157999806106,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.000157730653882,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,10.0,0.469001862641921,,,,,,,,,1,diagnostic_baseline,0.0001598298549652,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,10.0,4.691301762277799,,,,,,,,,1,diagnostic_baseline,0.0001575499773025,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001597004011273,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
