method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,175,,,175,173,2,,,,,,,,,0.011428571428571429,0.0,,0.9885714285714285,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00016422104090452194,tracklet_level_p_bh
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,175,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003516003489494324,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,175,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003196215257048607,block_evalue_post_filter
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,175,,,175,173,2,,,,,,,,,0.011428571428571429,0.0,,0.9885714285714285,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00014644954353570938,top_m_by_score_no_risk_control
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,200,,,200,196,4,,,,,,,,,0.02,0.0,,0.99,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00017873942852020264,score_threshold_from_calibration_null_quantile
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,200,,,200,196,4,,,,,,,,,0.02,0.0,,0.99,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00016526971012353897,tracklet_level_p_bh
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,200,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.00034830067306756973,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,200,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003336109220981598,block_evalue_post_filter
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,200,,,200,196,4,,,,,,,,,0.02,0.0,,0.99,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001501096412539482,top_m_by_score_no_risk_control
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00018720049411058426,score_threshold_from_calibration_null_quantile
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00018248055130243301,tracklet_level_p_bh
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003487197682261467,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.00031662918627262115,block_evalue_post_filter
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00015582982450723648,top_m_by_score_no_risk_control
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.5,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,15.676415406590976,12.96148139681572,20.0,True,12.96148139681572,10.379976992120971,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2266.0,,,75.0,20.0,-10.83484861008832,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,1,certified_or_core_baseline,,
