method,alpha1,seed,candidate_budget_M,released,n_cal_total,n_covered,n_excluded_empty,p_min_effective,emax_effective,required_emax,release_feasible,max_observed_e,best_margin_k,best_margin_tau,best_margin,empty_reason,empty_diagnostic
tracklet_p_bh,0.05,2,175,175,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,175,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,175,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,175,175,,,,,,,,,,,,,
confidence_threshold,0.05,2,200,200,,,,,,,,,,,,,
tracklet_p_bh,0.05,2,200,200,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,200,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,200,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,200,200,,,,,,,,,,,,,
confidence_threshold,0.05,2,250,250,,,,,,,,,,,,,
tracklet_p_bh,0.05,2,250,250,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,250,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,250,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,250,250,,,,,,,,,,,,,
unmatched_as_false_block,0.1,0,75,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,75.0,10.0,-3.9172374697017807,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,0.1,0,100,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,94.0,10.638297872340424,-4.555535342042206,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,0.1,0,125,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,125.0,10.0,-5.03344519141622,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,0.1,0,150,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,147.0,10.20408163265306,-6.148906612454248,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,0.1,0,175,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,175.0,10.0,-6.331956181485088,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,0.1,0,200,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,200.0,10.0,-6.331956181485088,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,0.1,0,250,0,708.0,591.0,117.0,0.0016891891891891,12.16552506059644,10.0,True,12.16552506059644,247.0,10.12145748987854,-6.870084153666815,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.1,0,75,75,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,31.0,24.19354838709677,9.923221850653784,,
null_superset_no_audit,0.1,0,100,31,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,31.0,32.25806451612903,1.8587057216215257,,
null_superset_no_audit,0.1,0,125,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,125.0,10.0,-2.471352889450608,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.1,0,150,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,127.0,11.811023622047244,-4.2823765114978505,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.1,0,175,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,175.0,10.0,-5.484422985415966,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.1,0,200,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,200.0,10.0,-5.484422985415966,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.1,0,250,0,708.0,591.0,117.0,0.0016891891891891,34.11677023775056,10.0,True,34.11677023775056,247.0,10.12145748987854,-6.4369021440536685,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.1,0,75,75,708.0,588.0,120.0,0.0016977928692699,33.97091768583136,10.0,True,33.97091768583136,41.0,18.292682926829265,15.678234759002097,,
parc_track_gamma_tuned_uniform_scs,0.1,0,100,97,708.0,588.0,120.0,0.0016977928692699,33.97091768583136,10.0,True,33.97091768583136,41.0,24.39024390243902,9.58067378339234,,
parc_track_gamma_tuned_uniform_scs,0.1,0,125,94,708.0,588.0,120.0,0.0016977928692699,33.97091768583136,10.0,True,33.97091768583136,41.0,30.487804878048777,3.4831128077825824,,
parc_track_gamma_tuned_uniform_scs,0.1,0,150,0,708.0,588.0,120.0,0.0016977928692699,33.97091768583136,10.0,True,33.97091768583136,94.0,15.957446808510635,-2.505399926155592,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
